(264.09090909090907, 150.09090909090909, 262L, 148L, 267L, 153L, 0.91935127973556519)
(264.08695652173913, 247.21739130434781, 262L, 245L, 267L, 251L, 0.93763083219528198)
(263.89999999999998, 295.30000000000001, 262L, 293L, 267L, 298L, 0.93615281581878662)
(265.0, 8.0, 263L, 6L, 268L, 11L, 0.95183366537094116)
(265.0, 199.0, 263L, 197L, 268L, 202L, 0.93940484523773193)
(279.67924528301887, 708.01886792452831, 275L, 705L, 285L, 712L, 1.0)
(279.84313725490193, 805.98039215686276, 276L, 803L, 285L, 810L, 1.0)
(281.60000000000002, 416.60000000000002, 277L, 413L, 287L, 421L, 1.0)
(281.49152542372883, 610.72881355932202, 277L, 607L, 287L, 615L, 1.0)
(281.59615384615387, 513.61538461538464, 278L, 510L, 286L, 518L, 1.0)
(283.17241379310343, 126.68965517241379, 279L, 123L, 288L, 131L, 1.0)
(283.05263157894734, 223.12280701754386, 279L, 220L, 288L, 228L, 1.0)
(283.03389830508473, 319.5593220338983, 279L, 316L, 288L, 324L, 1.0)
(284.4736842105263, 31.438596491228068, 280L, 28L, 290L, 36L, 1.0)
(285.78846153846155, 855.11538461538464, 282L, 852L, 291L, 859L, 1.0)
(287.35087719298247, 464.92982456140351, 283L, 461L, 293L, 469L, 1.0)
(286.85714285714283, 659.82142857142856, 283L, 656L, 292L, 664L, 1.0)
(286.61224489795916, 757.30612244897964, 283L, 754L, 291L, 762L, 1.0)
(288.41269841269843, 368.38095238095241, 284L, 365L, 294L, 373L, 1.0)
(287.54901960784315, 562.05882352941171, 284L, 559L, 292L, 566L, 1.0)
(289.87301587301585, 79.555555555555557, 285L, 76L, 295L, 84L, 1.0)
(289.4590163934426, 175.34426229508196, 285L, 172L, 295L, 180L, 1.0)
(289.87037037037038, 271.16666666666669, 286L, 268L, 295L, 276L, 1.0)
(309.125, 732.33333333333337, 307L, 730L, 312L, 736L, 0.92773854732513428)
(309.04000000000002, 829.39999999999998, 307L, 827L, 312L, 833L, 0.91372650861740112)
(310.5, 634.5, 308L, 632L, 314L, 638L, 0.88769435882568359)
(310.14285714285717, 683.19047619047615, 308L, 681L, 313L, 686L, 0.92781013250350952)
(310.0, 781.0, 308L, 779L, 313L, 784L, 0.91931611299514771)
(309.85714285714283, 878.80952380952385, 308L, 877L, 313L, 882L, 0.9387286901473999)
(311.38461538461536, 440.15384615384613, 309L, 438L, 315L, 444L, 0.92022448778152466)
(311.23809523809524, 537.61904761904759, 309L, 535L, 314L, 541L, 0.92293763160705566)
(311.25, 585.75, 309L, 584L, 314L, 589L, 0.93398845195770264)
(312.21739130434781, 343.39130434782606, 310L, 341L, 315L, 347L, 0.93545889854431152)
(312.0, 392.0, 310L, 390L, 315L, 395L, 0.92632770538330078)
(312.0, 489.0, 310L, 487L, 315L, 492L, 0.90442752838134766)
(313.5, 55.0, 311L, 53L, 317L, 58L, 0.93689954280853271)
(313.0, 150.0, 311L, 148L, 316L, 153L, 0.93731611967086792)
(313.33333333333331, 247.125, 311L, 245L, 317L, 250L, 0.94461262226104736)
(313.42857142857144, 295.09523809523807, 311L, 293L, 317L, 298L, 0.94492673873901367)
(313.63157894736844, 102.78947368421052, 312L, 101L, 317L, 106L, 0.92861300706863403)
(313.72222222222223, 199.11111111111111, 312L, 197L, 317L, 202L, 0.92320173978805542)
(314.85714285714283, 7.8095238095238093, 313L, 6L, 318L, 11L, 0.9365386962890625)
(329.33928571428572, 707.75, 325L, 704L, 335L, 712L, 1.0)
(329.17543859649123, 804.96491228070181, 325L, 801L, 334L, 809L, 1.0)
(330.42622950819674, 513.24590163934431, 326L, 510L, 336L, 518L, 1.0)
(330.0, 610.5, 326L, 607L, 335L, 615L, 1.0)
(331.625, 319.07142857142856, 327L, 316L, 337L, 323L, 1.0)
(331.33333333333331, 415.96825396825398, 327L, 412L, 337L, 421L, 1.0)
(333.05084745762713, 31.016949152542374, 328L, 27L, 338L, 35L, 1.0)
(332.40983606557376, 126.42622950819673, 328L, 123L, 338L, 131L, 1.0)
(332.46666666666664, 222.68333333333334, 328L, 219L, 338L, 227L, 1.0)
(335.03389830508473, 854.4406779661017, 331L, 851L, 340L, 859L, 1.0)
(336.05769230769232, 658.94230769230774, 332L, 656L, 341L, 663L, 1.0)
(335.80701754385967, 756.73684210526312, 332L, 753L, 341L, 761L, 1.0)
(337.10344827586209, 464.58620689655174, 333L, 461L, 342L, 469L, 1.0)
(337.0, 562.0, 333L, 559L, 342L, 566L, 1.0)
(338.24561403508773, 367.73684210526318, 334L, 364L, 343L, 372L, 1.0)
(338.8679245283019, 174.09433962264151, 335L, 171L, 344L, 178L, 1.0)
(338.50943396226415, 270.92452830188677, 335L, 267L, 343L, 275L, 1.0)
(339.88888888888891, 78.296296296296291, 336L, 75L, 345L, 83L, 1.0)
(358.60000000000002, 828.96000000000004, 356L, 827L, 362L, 832L, 0.93163281679153442)
(359.0, 878.0, 357L, 876L, 362L, 881L, 0.93853646516799927)
(360.21052631578948, 634.36842105263156, 358L, 632L, 363L, 637L, 0.92641353607177734)
(360.70833333333331, 683.0, 358L, 681L, 364L, 686L, 0.93868684768676758)
(360.0, 731.70833333333337, 358L, 729L, 363L, 735L, 0.92969405651092529)
(360.61904761904759, 780.23809523809518, 358L, 778L, 364L, 783L, 0.91602802276611328)
(360.8095238095238, 536.85714285714289, 359L, 535L, 364L, 540L, 0.93249040842056274)
(360.85714285714283, 585.80952380952385, 359L, 584L, 364L, 589L, 0.93723171949386597)
(362.36842105263156, 198.78947368421052, 360L, 197L, 365L, 202L, 0.95599746704101562)
(362.31818181818181, 246.86363636363637, 360L, 245L, 366L, 250L, 0.92880815267562866)
(362.0, 295.0, 360L, 293L, 365L, 298L, 0.93753916025161743)
(361.80000000000001, 343.5, 360L, 341L, 365L, 347L, 0.91569066047668457)
(362.25, 391.75, 360L, 390L, 365L, 395L, 0.91076290607452393)
(361.90909090909093, 439.90909090909093, 360L, 438L, 365L, 443L, 0.9342186450958252)
(361.75, 488.75, 360L, 487L, 365L, 492L, 0.89682340621948242)
(363.10000000000002, 54.049999999999997, 361L, 52L, 366L, 57L, 0.93204993009567261)
(363.0, 150.29166666666666, 361L, 148L, 366L, 154L, 0.9521908164024353)
(364.0, 7.0, 362L, 5L, 367L, 10L, 0.93253487348556519)
(364.61904761904759, 102.23809523809524, 362L, 100L, 368L, 105L, 0.89452636241912842)
(378.25454545454545, 805.0, 374L, 802L, 383L, 809L, 1.0)
(379.55357142857144, 707.58928571428567, 375L, 704L, 385L, 712L, 1.0)
(380.42105263157896, 610.01754385964909, 376L, 607L, 386L, 614L, 1.0)
(381.24590163934425, 318.88524590163934, 377L, 315L, 387L, 323L, 1.0)
(380.89655172413791, 415.60344827586209, 377L, 412L, 386L, 420L, 1.0)
(381.18000000000001, 512.58000000000004, 377L, 509L, 386L, 517L, 1.0)
(382.24561403508773, 125.73684210526316, 378L, 122L, 387L, 130L, 1.0)
(382.12068965517244, 222.15517241379311, 378L, 219L, 387L, 227L, 1.0)
(383.14545454545453, 30.763636363636362, 379L, 27L, 388L, 35L, 1.0)
