(118.84409799554565, 106.59354120267261, 102L, 90L, 137L, 124L)
(123.64817150063051, 903.5422446406053, 108L, 888L, 141L, 920L)
(129.87237237237238, 69.366366366366364, 116L, 55L, 144L, 85L)
(135.00232828870779, 659.50873108265421, 120L, 643L, 152L, 677L)
(134.89222222222222, 866.80444444444447, 120L, 850L, 151L, 885L)
(142.21761006289307, 428.23522012578616, 125L, 413L, 160L, 443L)
(144.61290322580646, 621.4810659186536, 129L, 607L, 161L, 637L)
(149.60538116591928, 194.82623318385652, 133L, 177L, 167L, 214L)
(146.85581395348837, 797.80232558139539, 135L, 787L, 159L, 810L)
(153.13020833333334, 391.61197916666669, 138L, 376L, 169L, 408L)
(156.68111888111889, 983.62797202797208, 142L, 969L, 172L, 1000L)
(160.08333333333334, 151.1491935483871, 146L, 136L, 175L, 168L)
(166.60784313725489, 748.68137254901956, 152L, 733L, 183L, 767L)
(165.11166666666668, 948.2166666666667, 152L, 935L, 179L, 963L)
(178.45138178096212, 708.2538382804504, 161L, 691L, 197L, 726L)
(177.14176829268294, 509.41006097560978, 164L, 494L, 191L, 526L)
(181.58830146231722, 281.98312710911136, 165L, 266L, 199L, 299L)
(186.21082621082621, 474.17094017094018, 172L, 459L, 202L, 490L)
(193.40286831812256, 48.715775749674052, 177L, 34L, 211L, 64L)
(193.92032967032966, 241.05906593406593, 180L, 225L, 209L, 258L)
(195.73108265424912, 839.39231664726424, 180L, 823L, 213L, 858L)
(203.87710437710439, 17.127946127946128, 189L, 6L, 220L, 30L)
(205.89460784313727, 592.26960784313724, 192L, 574L, 221L, 611L)
(204.82342007434943, 797.89591078066917, 192L, 784L, 218L, 812L)
(213.04964539007094, 370.39290780141846, 199L, 355L, 228L, 387L)
(218.57160493827161, 555.12839506172838, 201L, 540L, 236L, 570L)
(221.85847953216376, 331.47602339181287, 204L, 316L, 239L, 347L)
(221.59922178988327, 130.81193255512321, 207L, 115L, 236L, 148L)
(225.3716915995397, 925.70771001150752, 209L, 909L, 242L, 944L)
(234.34681181959564, 92.967340590979788, 221L, 78L, 249L, 109L)
(235.64675984752225, 888.1651842439644, 221L, 872L, 252L, 904L)
(238.98771498771498, 685.55651105651111, 223L, 670L, 256L, 702L)
(247.9985835694051, 454.78753541076486, 233L, 440L, 263L, 471L)
(249.34802431610942, 645.40425531914889, 237L, 630L, 263L, 662L)
(254.04856787048567, 223.67123287671234, 239L, 208L, 270L, 242L)
(254.9712643678161, 418.2787356321839, 241L, 404L, 271L, 434L)
(264.12283044058745, 181.67823765020026, 249L, 166L, 280L, 198L)
(262.88345864661653, 4.7556390977443606, 250L, 0L, 279L, 13L)
(269.92563429571305, 777.72615923009619, 251L, 759L, 290L, 796L)
(272.5209471766849, 975.47358834244085, 252L, 959L, 295L, 992L)
(279.3871733966746, 536.76603325415681, 264L, 519L, 296L, 555L)
(280.09735744089011, 736.21001390820584, 265L, 721L, 296L, 752L)
(283.26567164179107, 310.70149253731341, 270L, 296L, 298L, 326L)
(288.27210884353741, 501.61632653061224, 273L, 486L, 304L, 518L)
(294.71174728529121, 274.62586377097728, 276L, 259L, 313L, 292L)
(296.06284153005464, 74.312841530054641, 281L, 59L, 311L, 91L)
(301.55906432748537, 870.86783625730993, 286L, 854L, 318L, 888L)
(307.09718309859153, 40.667605633802815, 290L, 28L, 325L, 54L)
(310.60405156537752, 833.26795580110502, 292L, 816L, 331L, 853L)
(311.94055944055947, 623.1585081585082, 296L, 607L, 328L, 642L)
(318.93904208998549, 399.53120464441218, 305L, 384L, 334L, 416L)
(323.70287958115182, 585.31937172774872, 308L, 570L, 341L, 601L)
(328.34285714285716, 161.80645161290323, 309L, 143L, 348L, 181L)
(328.40258064516127, 361.93290322580646, 313L, 346L, 345L, 378L)
(325.51867219917011, 766.80290456431533, 314L, 755L, 339L, 780L)
(335.30044843049325, 955.82735426008969, 320L, 939L, 352L, 975L)
(339.10802919708027, 124.08759124087591, 324L, 109L, 354L, 139L)
(342.43910256410254, 717.71367521367517, 326L, 701L, 360L, 737L)
