(82.628235294117644, 387.68000000000001, 66L, 376L, 100L, 399L)
(74.224999999999994, 202.19, 67L, 195L, 83L, 211L)
(76.030303030303031, 6.0707070707070709, 68L, 0L, 88L, 15L)
(80.586330935251794, 121.31294964028777, 69L, 110L, 92L, 133L)
(75.096774193548384, 239.70967741935485, 69L, 234L, 82L, 247L)
(76.747572815533985, 354.0, 69L, 346L, 85L, 363L)
(75.267857142857139, 45.4375, 70L, 40L, 82L, 52L)
(78.007518796992485, 74.601503759398497, 72L, 68L, 85L, 82L)
(79.255639097744364, 320.78195488721803, 73L, 315L, 87L, 328L)
(84.97783933518005, 683.4459833795014, 73L, 670L, 97L, 697L)
(81.848421052631579, 794.91578947368419, 74L, 774L, 91L, 818L)
(79.090000000000003, 976.77999999999997, 74L, 971L, 85L, 983L)
(79.915789473684214, 168.73684210526315, 75L, 164L, 86L, 175L)
(86.511764705882356, 710.73235294117649, 75L, 699L, 97L, 722L)
(82.449275362318843, 91.384057971014499, 76L, 85L, 90L, 99L)
(84.045045045045043, 632.0585585585585, 76L, 624L, 93L, 641L)
(85.545801526717554, 741.06488549618325, 76L, 729L, 96L, 755L)
(84.340175953079182, 836.41935483870964, 76L, 820L, 93L, 851L)
(82.260162601626021, 860.43902439024396, 76L, 854L, 89L, 867L)
(82.505813953488371, 883.54069767441865, 76L, 876L, 90L, 892L)
(82.982352941176472, 916.58235294117651, 76L, 909L, 91L, 925L)
(101.57021276595745, 471.84255319148934, 77L, 460L, 125L, 488L)
(88.246056782334378, 655.05678233438482, 77L, 642L, 100L, 669L)
(87.035230352303529, 955.31707317073176, 77L, 944L, 98L, 967L)
(93.492307692307691, 156.33076923076922, 80L, 150L, 107L, 164L)
(85.991561181434605, 280.41350210970467, 80L, 269L, 94L, 294L)
(101.30555555555556, 440.90798611111109, 80L, 429L, 125L, 457L)
(87.0, 765.0, 81L, 759L, 94L, 772L)
(88.154838709677421, 602.27741935483868, 82L, 595L, 96L, 610L)
(90.820359281437121, 332.96407185628743, 83L, 326L, 99L, 341L)
(91.960396039603964, 133.53465346534654, 84L, 126L, 101L, 142L)
(92.201438848920859, 239.10071942446044, 86L, 233L, 100L, 247L)
(92.486238532110093, 47.449541284403672, 87L, 42L, 99L, 54L)
(92.518072289156621, 361.87951807228916, 87L, 354L, 100L, 371L)
(95.27477477477477, 499.52702702702703, 87L, 491L, 105L, 509L)
(94.824324324324323, 210.52702702702703, 88L, 204L, 102L, 218L)
(94.315789473684205, 618.57894736842104, 88L, 612L, 101L, 626L)
(95.993333333333339, 528.86666666666667, 89L, 522L, 104L, 536L)
(95.12605042016807, 588.44537815126046, 89L, 583L, 102L, 595L)
(94.7007874015748, 978.71653543307082, 89L, 973L, 102L, 986L)
(96.770428015564207, 9.2879377431906622, 90L, 0L, 107L, 22L)
(96.799999999999997, 182.77714285714285, 90L, 175L, 105L, 191L)
(96.272000000000006, 558.51999999999998, 90L, 552L, 103L, 566L)
(98.658291457286438, 30.954773869346734, 91L, 23L, 107L, 40L)
(99.651960784313729, 62.254901960784316, 92L, 54L, 108L, 71L)
(98.75, 261.13194444444446, 92L, 255L, 106L, 268L)
(99.625, 95.375, 93L, 89L, 107L, 103L)
(100.35036496350365, 288.25547445255472, 94L, 282L, 108L, 296L)
(104.37073170731708, 408.74146341463415, 97L, 401L, 113L, 417L)
(105.28205128205128, 223.68589743589743, 98L, 217L, 113L, 231L)
(105.29651162790698, 315.26162790697674, 98L, 308L, 113L, 323L)
(105.51295336787565, 345.17098445595855, 98L, 338L, 114L, 353L)
(105.61392405063292, 376.81012658227849, 99L, 370L, 113L, 385L)
(109.13142857142857, 139.33142857142857, 102L, 132L, 117L, 148L)
(114.55112219451371, 704.88029925187027, 102L, 689L, 127L, 720L)
(109.01234567901234, 877.70781893004119, 102L, 868L, 117L, 889L)
(109.324, 909.072, 102L, 900L, 118L, 920L)
(108.8062015503876, 114.25581395348837, 103L, 108L, 116L, 121L)
(111.47654320987654, 844.237037037037, 103L, 830L, 121L, 859L)
(113.43939393939394, 764.4757575757576, 104L, 752L, 123L, 778L)
(113.28252788104089, 950.34572490706319, 104L, 941L, 123L, 960L)
(110.77372262773723, 970.36496350364962, 104L, 964L, 118L, 978L)
(114.42181818181818, 74.261818181818185, 105L, 65L, 126L, 85L)
(114.49253731343283, 733.97014925373139, 105L, 721L, 124L, 748L)
(112.56226415094339, 804.3415094339623, 106L, 783L, 121L, 828L)
(116.62396694214875, 671.99586776859508, 107L, 661L, 127L, 684L)
(117.86170212765957, 646.60638297872345, 108L, 634L, 129L, 660L)
(121.15902140672783, 155.18654434250766, 109L, 145L, 133L, 164L)
(119.31746031746032, 286.43915343915342, 109L, 276L, 132L, 300L)
(114.68382352941177, 625.11029411764707, 109L, 618L, 121L, 633L)
(115.8792270531401, 929.0772946859903, 109L, 921L, 124L, 939L)
(115.575, 99.016666666666666, 110L, 93L, 122L, 106L)
(117.57954545454545, 263.125, 111L, 255L, 125L, 272L)
(122.24079320113314, 496.72521246458922, 111L, 483L, 135L, 513L)
(116.34013605442176, 533.42176870748301, 111L, 526L, 123L, 542L)
(116.90625, 563.35000000000002, 111L, 555L, 124L, 572L)
(116.5798319327731, 596.1260504201681, 111L, 590L, 123L, 603L)
